------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <../rn/1.dat>
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
  8  13  15   3   6   9  14  12  12   8  0.153763    100/100     NonOverlappingTemplate
 14  12   8   8  13   9  10   8  11   7  0.816537     98/100     NonOverlappingTemplate
 12  11  14  14   7   7   7  10  10   8  0.657933     99/100     NonOverlappingTemplate
 12  16  16  12   6   4   6   9   8  11  0.080519     96/100     NonOverlappingTemplate
  9  16  11   8   4  11   8  10  14   9  0.350485    100/100     NonOverlappingTemplate
 13   7   7   8   5  12   9  12  17  10  0.249284     96/100     NonOverlappingTemplate
 13   5  12   7  12  12  12  10  10   7  0.657933     98/100     NonOverlappingTemplate
  7   9   8   9  16   7  12  13   9  10  0.595549     98/100     NonOverlappingTemplate
 10   6   9   9   9  10  10  13  13  11  0.924076     99/100     NonOverlappingTemplate
 12   8  14   9   5  15   9   8   8  12  0.455937     98/100     NonOverlappingTemplate
 11  10  12  10  12   9   9   9   7  11  0.987896     98/100     NonOverlappingTemplate
  8  13   9  16   6  12  12  12   8   4  0.224821    100/100     NonOverlappingTemplate
 12  15   9   9   5  13   7  10  11   9  0.574903     98/100     NonOverlappingTemplate
  9  15   7  11   5  12  11  13  10   7  0.494392    100/100     NonOverlappingTemplate
 10   8   5  15  12  12  12  12   6   8  0.437274    100/100     NonOverlappingTemplate
 11  11  11  12   8   5  11   8  15   8  0.637119     98/100     NonOverlappingTemplate
 12   8   8  14  10   5  17   8   9   9  0.289667     98/100     NonOverlappingTemplate
 10  10   5  14  11  11   7  10   9  13  0.719747     99/100     NonOverlappingTemplate
 13   9   6   6   9  10  14  11  10  12  0.699313     99/100     NonOverlappingTemplate
  8   7  12   9   7  10  15  10  11  11  0.798139     99/100     NonOverlappingTemplate
  9  10  10   9  14   4   8  16   9  11  0.383827    100/100     NonOverlappingTemplate
  8  12  10   8  11   6   7  12   6  20  0.071177     98/100     NonOverlappingTemplate
  8   7  11   8   9  12  13   8  10  14  0.816537    100/100     NonOverlappingTemplate
 10  12   8   8  11  11  11   9  12   8  0.983453    100/100     NonOverlappingTemplate
  7  14  13  11   9   9  10   8   9  10  0.897763    100/100     NonOverlappingTemplate
 15   9   7   7  10  10   8  11   8  15  0.554420    100/100     NonOverlappingTemplate
 13  14  10   8  13   8   9   5  14   6  0.350485    100/100     NonOverlappingTemplate
 12  12  10   9  12  15  10   6   6   8  0.595549     99/100     NonOverlappingTemplate
 13   5  18  10   9   8  14   7   6  10  0.108791     97/100     NonOverlappingTemplate
  9  16   9   9   7  12  11  14   5   8  0.366918    100/100     NonOverlappingTemplate
 12  15   2  14   7  10  10  11   8  11  0.191687    100/100     NonOverlappingTemplate
 13  12  11  15  10   5  11   3  11   9  0.236810     98/100     NonOverlappingTemplate
  5  13   9   8  10   6  19  12  11   7  0.090936    100/100     NonOverlappingTemplate
 12   8  12   9   8  11   7   6  10  17  0.419021    100/100     NonOverlappingTemplate
  9   8  15   9  10   8  10   8  10  13  0.851383    100/100     NonOverlappingTemplate
  7  10   8  13  10   8  15   9  12   8  0.739918    100/100     NonOverlappingTemplate
 12  11  14   9   5  10  11  13   5  10  0.514124     99/100     NonOverlappingTemplate
  6  11   8  11  13   5   8  16  16   6  0.096578    100/100     NonOverlappingTemplate
 12   8  14   8   9   9  12   8  10  10  0.924076     99/100     NonOverlappingTemplate
  9  10   9   5  13  13  10  10  10  11  0.867692    100/100     NonOverlappingTemplate
 10   9  11   7  14  17   8   9   7   8  0.401199     97/100     NonOverlappingTemplate
 12   8   8  12  11   5   6  10  14  14  0.437274     99/100     NonOverlappingTemplate
  8   6  14   7   8   7   9   9  21  11  0.032923     99/100     NonOverlappingTemplate
 14   8   9  11  16  10  10   9   5   8  0.455937     99/100     NonOverlappingTemplate
 14   6   7   7  14   9   8  12   9  14  0.419021     99/100     NonOverlappingTemplate
  7  10  10   8  11  14   8  10   9  13  0.883171     99/100     NonOverlappingTemplate
 13   4   8   8  10   8  15   8   9  17  0.137282    100/100     NonOverlappingTemplate
 11  12   7   6  10  11  17   7   7  12  0.334538     99/100     NonOverlappingTemplate
  4  17   7   8   6  10  12  10  10  16  0.080519    100/100     NonOverlappingTemplate
 10  13   8  13  14   9   6  12   6   9  0.574903     98/100     NonOverlappingTemplate
 14  12  14   9   8  11   9   5  11   7  0.554420     99/100     NonOverlappingTemplate
  8   7   6  17  14   6  14   7  12   9  0.122325     99/100     NonOverlappingTemplate
  9  13   4  12   9  11   8  15  12   7  0.401199    100/100     NonOverlappingTemplate
 11  10  13  12   6  11   9   9   7  12  0.867692     99/100     NonOverlappingTemplate
 10  14  10  11  15   5   9   8  10   8  0.574903     99/100     NonOverlappingTemplate
  9   6  11  13   5   9  14  11  14   8  0.437274    100/100     NonOverlappingTemplate
 11  13   7   6   7   9  10  19  12   6  0.102526     99/100     NonOverlappingTemplate
  8   5  11   8   7  11   9  10  21  10  0.055361    100/100     NonOverlappingTemplate
 16  10  15  12   7   8  11   4   6  11  0.153763     98/100     NonOverlappingTemplate
 11   8   8   7   8  14  11  12   9  12  0.851383     99/100     NonOverlappingTemplate
