------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <../rn/1.dat>
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
 17   6  12  12  10   7   5  12  10   9  0.262249     95/100  *  Frequency
 14  13   6  11   8  10   9  13   8   8  0.699313     99/100     BlockFrequency
 17  13   8  13   7   8   9   6  13   6  0.181557     96/100     CumulativeSums
 17  10  13   6  11   8  14   4   9   8  0.137282     97/100     CumulativeSums
  7   9  13   8  11   7  13  14  12   6  0.554420     99/100     Runs
 13  13  12   8   9  11  10   9  10   5  0.798139    100/100     LongestRun
  9  13   9   7   7  11   9  13  10  12  0.883171    100/100     Rank
  8  12  11   7   9   6  11  16   8  12  0.534146     99/100     FFT
  6  15  14   5  13  14  10   6  10   7  0.153763    100/100     NonOverlappingTemplate
 10  15   6  11  10  16   9   8   9   6  0.350485     98/100     NonOverlappingTemplate
  7  11   8  10  10  11  12  13   9   9  0.964295     99/100     NonOverlappingTemplate
  5  11   8  12   8  13  10  17   6  10  0.262249     99/100     NonOverlappingTemplate
 12  10   7  10  13  12  11   9   8   8  0.935716     97/100     NonOverlappingTemplate
  8  13  13   6  17   9   8  10   6  10  0.289667     99/100     NonOverlappingTemplate
 10   8  12   3  14   8   9  10  12  14  0.366918    100/100     NonOverlappingTemplate
 11  10   6  16   8  12   4   9   7  17  0.075719    100/100     NonOverlappingTemplate
 13  13   8  11   9   6  13   9  10   8  0.798139     99/100     NonOverlappingTemplate
 13   5  12  19   9   5   5  13  12   7  0.023545     96/100     NonOverlappingTemplate
 12  11   5  10  11  11   7  11  12  10  0.867692    100/100     NonOverlappingTemplate
  5  11  14   9   9  10  14   6  12  10  0.534146    100/100     NonOverlappingTemplate
  8  10  10  14   6   9  14  10   7  12  0.678686    100/100     NonOverlappingTemplate
 10  12  13  11  10   7  13  11  11   2  0.366918    100/100     NonOverlappingTemplate
  7   9  11   7  13   8   9  11  13  12  0.851383     98/100     NonOverlappingTemplate
  9   9  10   8   9  10   8  15   8  14  0.779188    100/100     NonOverlappingTemplate
 11   9   9  10  11   7  11  15  12   5  0.657933     99/100     NonOverlappingTemplate
 13  11  15  13   6  10  11   2  10   9  0.181557     99/100     NonOverlappingTemplate
  8  11   9   9  12   7  10   7  19   8  0.249284    100/100     NonOverlappingTemplate
 10  15   8   6   9  11   6  15   7  13  0.304126    100/100     NonOverlappingTemplate
 11  10   8   9  13  15   6  13  10   5  0.437274     99/100     NonOverlappingTemplate
 15  12   5   8  10  10  11  12  11   6  0.534146    100/100     NonOverlappingTemplate
  7  10   8  11  10  13  13   8   6  14  0.657933     99/100     NonOverlappingTemplate
  7  14   8   9  10  13   8  10  11  10  0.883171     99/100     NonOverlappingTemplate
  9  11   8  15   7  10  13   4  16   7  0.162606     98/100     NonOverlappingTemplate
 12   9  11   4   9  12   9   8  13  13  0.637119    100/100     NonOverlappingTemplate
 11  14   6   7   8   9  12   5  13  15  0.275709     99/100     NonOverlappingTemplate
 14   9  16   8  12   4   5   7  10  15  0.075719    100/100     NonOverlappingTemplate
 15  13   3  10  12   9  18   4   7   9  0.019188    100/100     NonOverlappingTemplate
 13  10  10  12  13   6   8  10   6  12  0.719747    100/100     NonOverlappingTemplate
 16   9   8  10  10   9  12   6   7  13  0.534146     98/100     NonOverlappingTemplate
 15  13   7   3  15   8  17  10   5   7  0.015598     99/100     NonOverlappingTemplate
 13  10   7  10   8  11  12   5   9  15  0.554420     98/100     NonOverlappingTemplate
 10  12  12   7  10  16  11   7  10   5  0.455937     98/100     NonOverlappingTemplate
 12  11   4   6  15  12   9  11   9  11  0.437274     99/100     NonOverlappingTemplate
  5   7  11  12  13  12  11  10  11   8  0.759756    100/100     NonOverlappingTemplate
  8   7  10  12   8  13   8  12  11  11  0.911413     99/100     NonOverlappingTemplate
  7   9   6   6  11  15  10  18   7  11  0.115387    100/100     NonOverlappingTemplate
  9   7   9   7  13   7  13  14  10  11  0.699313    100/100     NonOverlappingTemplate
 14  11   4  15   8   9  15   5  10   9  0.145326     97/100     NonOverlappingTemplate
  9  13  13   5  14   8   7  12   6  13  0.334538     97/100     NonOverlappingTemplate
  9   5   9  11   8  12   9   6  15  16  0.249284     99/100     NonOverlappingTemplate
  9  11  14   8  10  10   9  13   8   8  0.911413     98/100     NonOverlappingTemplate
  5  13   8  13  11   8  13  12   8   9  0.637119    100/100     NonOverlappingTemplate
  9  10  14  10  15   6   8  10  11   7  0.616305    100/100     NonOverlappingTemplate
 13   7   7   3  12  14  10  11  11  12  0.334538    100/100     NonOverlappingTemplate
 10  11  10  12   7   9  14   9  12   6  0.816537     96/100     NonOverlappingTemplate
 12  11   8  12   7  13   9   8  12   8  0.883171     99/100     NonOverlappingTemplate
  8   7  10   8   9  10  11  15   9  13  0.798139    100/100     NonOverlappingTemplate
 12  11  15  11   9   8  10   2  12  10  0.319084    100/100     NonOverlappingTemplate
  9   9   7  14   9  13   8  10  14   7  0.678686     99/100     NonOverlappingTemplate
  6  14   9  15  14   8  10   8   2  14  0.062821    100/100     NonOverlappingTemplate
  8   9   9  14  10  10   3  10  14  13  0.383827     98/100     NonOverlappingTemplate
  9  11   9   7   8   8  12   9  13  14  0.834308    100/100     NonOverlappingTemplate
 12   7  11  12  10  12   7   7  10  12  0.883171     98/100     NonOverlappingTemplate
 10   6  12  11  11  11  13  11   9   6  0.834308    100/100     NonOverlappingTemplate
  9  11  12   7  11  11   5   8  13  13  0.699313     99/100     NonOverlappingTemplate
 11  18  14   5  10   9  15   1  10   7  0.008266     99/100     NonOverlappingTemplate
  8   9   7  10   6  14  12   8  10  16  0.437274     99/100     NonOverlappingTemplate
  9  17   7  12  11   8   5  15  11   5  0.108791    100/100     NonOverlappingTemplate
 11   8  12  10  10   8   9   7  14  11  0.911413     98/100     NonOverlappingTemplate
 11  13  11  12   6   6  14   8   9  10  0.657933     99/100     NonOverlappingTemplate
  7  12   8  11  12  11   9   8  10  12  0.955835     98/100     NonOverlappingTemplate
  8   5   7   8  12  14  19  10   5  12  0.045675     99/100     NonOverlappingTemplate
  9  14  12  11   5   9   8  13  10   9  0.719747    100/100     NonOverlappingTemplate
 14  10   8   6  10   9  11  12  11   9  0.883171     99/100     NonOverlappingTemplate
 12  12   9  10   9  10   6   9  10  13  0.935716     99/100     NonOverlappingTemplate
 11  13  11   9   8  10  12   7  13   6  0.798139    100/100     NonOverlappingTemplate
