		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
000100101   22   23   24   22   24   23   26   34  4.681045 0.791059 SUCCESS  17
000100111   26   19   23   30   27   29   29   19  6.071203 0.639256 SUCCESS  18
000101001   23   32   26   16   27   23   23   21  6.569674 0.583690 SUCCESS  19
000101011   22   18   20   20   21   29   16   32 10.440270 0.235474 SUCCESS  20
000101101   22   30   26   22   17   22   26   25  4.612199 0.798106 SUCCESS  21
000101111   24   22   27   26   27   27   25   28  1.784222 0.986927 SUCCESS  22
000110011   28   24   22   11   17   20   19   14 17.359944 0.026572 SUCCESS  23
000110101   29   25   22   21   25   21   25   25  2.180748 0.974963 SUCCESS  24
000110111   38   27   32   26   29   32   28   13 20.080681 0.010035 SUCCESS  25
000111001   24   26   24   22   23   13   17   18 10.006673 0.264558 SUCCESS  26
000111011   27   23   20   34   31   25   25   18  8.706544 0.367653 SUCCESS  27
000111101   15   30   21   30   21   20   34   18 13.839536 0.086045 SUCCESS  28
000111111   20   18   17   28   31   22   23   30  8.924998 0.348663 SUCCESS  29
001000011   32   28   20   18   24   24   32   25  8.028677 0.430674 SUCCESS  30
001000101   17   25   22   22   25   26   27   16  6.220810 0.622513 SUCCESS  31
001000111   19   25   22   26   21   20   16   24  5.906370 0.657719 SUCCESS  32
001001011   19   30   23   23   31   31   25   28  6.987383 0.537995 SUCCESS  33
001001101   34   23   28   23   20   21   21   31  8.265666 0.407959 SUCCESS  34
001001111   16   23   23   31   26   19   34   21 10.738822 0.216942 SUCCESS  35
001010011   25   24   30   22   27   20   18   18  6.170500 0.628140 SUCCESS  36
001010101   21   17   25   26   19   26   32   27  7.010552 0.535495 SUCCESS  37
001010111   26   23   17   20   22   30   27   47 26.832213 0.000756 FAILURE  38
001011011   22   28   24   22   25   27   22   27  1.876237 0.984574 SUCCESS  39
001011101   20   23   20   18   36   26   22   24  9.518132 0.300487 SUCCESS  40
001011111   22   24   22   25   25   34   27   25  4.732680 0.785728 SUCCESS  41
001100101   24   24   27   27   24   24   30   14  6.510757 0.590215 SUCCESS  42
001100111   28   28   23   12   20   21   22   24  9.254002 0.321324 SUCCESS  43
001101011   27   22   30   25   19   22   23   26  3.545088 0.895662 SUCCESS  44
001101101   26   14   22   23   29   29   26   28  7.468642 0.487013 SUCCESS  45
001101111   31   27   21   27   25   28   26   25  3.598046 0.891448 SUCCESS  46
001110101   23   26   27   19   21   33   19   24  6.578279 0.582739 SUCCESS  47
001110111   25   33   24   35   25   25   18   22  9.927235 0.270170 SUCCESS  48
001111011   24   26   26   25   22   27   24   22  1.020297 0.998117 SUCCESS  49
001111101   29   22   21   29   28   20   24   24  3.909839 0.865165 SUCCESS  50
001111111   21   21   19   36   29   18   20   22 11.610650 0.169439 SUCCESS  51
010000011   27   27   31   30   21   20   15   15 12.542717 0.128582 SUCCESS  52
010000111   31   27   20   18   23   16   31   24  9.611471 0.293361 SUCCESS  53
010001011   20   23   31   22   24   27   22   21  4.019066 0.855399 SUCCESS  54
010001111   22   22   27   29   19   27   18   29  5.824284 0.666907 SUCCESS  55
010010011   22   28   26   24   25   23   28   31  3.402762 0.906604 SUCCESS  56
010010111   14   28   23   21   35   27   24   24 10.764640 0.215395 SUCCESS  57
010011011   27   23   23   20   27   21   27   32  4.782990 0.780499 SUCCESS  58
010011111   27   25   18   30   21   22   30   17  7.747336 0.458532 SUCCESS  59
010100011   29   25   26   25   25   25   31   23  2.996307 0.934589 SUCCESS  60
010100111   27   24   24   32   19   30   16   26  8.409316 0.394541 SUCCESS  61
010101011   27   22   22   25   24   17   33   25  6.265163 0.617556 SUCCESS  62
010101111   22   22   20   22   23   24   29   35  7.299175 0.504725 SUCCESS  63
010110011   22   27   25   18   28   22   28   28  4.172645 0.841220 SUCCESS  64
010110111   19   27   24   23   25   26   21   32  4.672440 0.791943 SUCCESS  65
010111011   19   29   22   19   32   23   24   38 13.985833 0.082135 SUCCESS  66
010111111   22   27   27   18   29   34   34   27 11.547100 0.172584 SUCCESS  67
011000111   23   17   23   35   24   19   17   15 14.549178 0.068527 SUCCESS  68
011001111   29   32   25   14   22   19   25   24  9.442004 0.306391 SUCCESS  69
011010111   25   26   32   22   22   29   23   29  4.936570 0.764334 SUCCESS  70
011011111   27   23   24   28   19   28   20   21  4.019066 0.855399 SUCCESS  71
011101111   28   29   28   25   27   22   23   21  3.114139 0.926992 SUCCESS  72
011111111   22   22   26   23   29   23   24   19  2.900320 0.940456 SUCCESS  73
100000000   18   27   16   15   26   32   23   16 14.379711 0.072390 SUCCESS  74
100010000   23   19   26   27   22   30   23   20  4.188532 0.839725 SUCCESS  75
100100000   25   28   29   30   20   29   23   24  4.597636 0.799587 SUCCESS  76
100101000   20   20   21   20   22   16   30   25  7.524911 0.481196 SUCCESS  77
100110000   18   19   26   20   31   22   22   19  7.465994 0.487288 SUCCESS  78
100111000   26   25   28   24   27   26   26   30  2.513723 0.961088 SUCCESS  79
101000000   25   25   18   16   32   18   20   21 10.244986 0.248250 SUCCESS  80
101000100   18   22   18   27   24   24   23   25  4.111081 0.846965 SUCCESS  81
101001000   28   25   24   27   30   25   29   20  3.919769 0.864289 SUCCESS  82
101001100   21   20   36   19   32   22   22   23 11.264434 0.187161 SUCCESS  83
101010000   26   29   19   21   24   21   27   23  3.595398 0.891661 SUCCESS  84
101010100   20   20   24   20   21   29   30   27  5.468139 0.706567 SUCCESS  85
101011000   30   11   33   30   20   23   23   24 14.390965 0.072127 SUCCESS  86
101011100   29   24   27   24   33   34   30   30 10.896374 0.207640 SUCCESS  87
101100000   21   24   18   21   22   29   11   20 12.285869 0.138898 SUCCESS  88
101100100   20   31   24   18   25   24   18   26  6.272445 0.616743 SUCCESS  89
101101000   17   19   22   19   27   21   22   20  6.871536 0.550554 SUCCESS  90
101101100   27   24   14   30   28   24   22   17  9.322848 0.315797 SUCCESS  91
101110000   29   27   28   25   23   34   35   28 11.048629 0.198959 SUCCESS  92
101110100   27   25   22   24   22   37   22   23  7.850605 0.448198 SUCCESS  93
101111000   27   25   25   32   23   25   31   22  4.953781 0.762504 SUCCESS  94
101111100   26   27   26   22   21   26   16   20  5.153699 0.741029 SUCCESS  95
110000000   12   28   22   19   16   27   19   15 16.792628 0.032342 SUCCESS  96
110000010   30   26   23   20   21   25   20   21  4.154109 0.842958 SUCCESS  97
110000100   32   25   31   30   32   24   30   24  9.430088 0.307322 SUCCESS  98
110001000   22   18   29   31   27   28   23   19  6.875508 0.550122 SUCCESS  99
110001010   22   23   26   23   24   24   13   35 10.797739 0.213425 SUCCESS 100
110010000   23   26   29   23   22   25   22   28  2.223776 0.973371 SUCCESS 101
110010010   18   34   31   29   21   19   28   24 10.664019 0.221473 SUCCESS 102
110010100   20   24   29   23   30   22   25   20  4.214350 0.837285 SUCCESS 103
110011000   26   17   15   24   33   16   22   25 12.558605 0.127966 SUCCESS 104
110011010   20   24   30   24   19   24   22   26  3.756260 0.878418 SUCCESS 105
110100000   27   26   20   17   27   26   17   18  7.983001 0.435132 SUCCESS 106
110100010   20   21   22   25   24   23   20   29  3.374297 0.908724 SUCCESS 107
110100100   23   24   24   27   29   34   30   24  6.522011 0.588967 SUCCESS 108
110101000   35   33   24   23   29   22   19   18 12.095881 0.146977 SUCCESS 109
110101010   26   25   21   19   26   20   31   25  4.638017 0.795471 SUCCESS 110
110101100   28   15   23   25   21   26   25   35  9.765050 0.281905 SUCCESS 111
110110000   28   17   15   26   29   24   19   25  8.873363 0.353091 SUCCESS 112
110110010   26   32   23   26   24   19   20   22  5.053078 0.751888 SUCCESS 113
110110100   24   17   28   26   37   21   18   23 12.018429 0.150383 SUCCESS 114
110111000   27   29   28   27   19   29   27   24  4.445381 0.814872 SUCCESS 115
110111010   30   28   22   28   21   28   21   29  5.097431 0.747114 SUCCESS 116
110111100   28   24   29   28   20   22   26   26  3.283606 0.915320 SUCCESS 117
111000000   14   22   25   21   17   36   28   19 15.135030 0.056572 SUCCESS 118
111000010   32   24   35   26   25   22   32   24 10.039110 0.262292 SUCCESS 119
111000100   20   20   30   28   23   20   22   22  4.908104 0.767351 SUCCESS 120
111000110   32   29   25   34   27   27   21   25  8.344442 0.400567 SUCCESS 121
111001000   35   27   30   20   25   24   21   25  7.724166 0.460868 SUCCESS 122
111001010   27   22   23   19   30   20   29   29  5.791185 0.670609 SUCCESS 123
111001100   28   21   14   26   29   26   25   27  7.036369 0.532714 SUCCESS 124
111010000   31   24   19   20   26   28   27   18  6.586885 0.581787 SUCCESS 125
111010010   25   20   26   26   29   30   33   22  6.657055 0.574045 SUCCESS 126
111010100   28   28   12   32   26   20   13   28 17.042194 0.029673 SUCCESS 127
111010110   27   19   20   20   27   32   24   27  6.189035 0.626066 SUCCESS 128
111011000   20   23   22   25   22   29   25   24  2.324397 0.969417 SUCCESS 129
111011010   22   23   25   25   38   28   26   27  9.140141 0.330612 SUCCESS 130
111011100   18   26   17   29   28   32   23   27  8.426527 0.392952 SUCCESS 131
111100000   19   22   16   25   23   31   21   16  9.888840 0.272915 SUCCESS 132
111100010   26   21   35   29   24   28   20   28  8.182256 0.415872 SUCCESS 133
111100100   25   25   36   18   16   12   15   27 20.997523 0.007154 FAILURE 134
111100110   22   23   20   22   29   23   30   23  3.782077 0.876231 SUCCESS 135
111101000   20   28   14   21   21   13   27   20 13.539659 0.094582 SUCCESS 136
111101010   26   24   17   27   34   23   21   28  7.748660 0.458399 SUCCESS 137
111101100   20   29   32   29   20   19   27   29  8.300089 0.404719 SUCCESS 138
111101110   24   19   22   23   23   29   24   21  3.043969 0.931568 SUCCESS 139
111110000   28   29   22   21   26   27   22   21  3.308099 0.913562 SUCCESS 140
111110010   33   25   28   17   11   16   24   22 16.862798 0.031570 SUCCESS 141
111110100   21   19   23   35   25   26   27   23  7.062187 0.529938 SUCCESS 142
111110110   20   21   28   35   25   27   19   21  8.646304 0.373006 SUCCESS 143
111111000   24   25   25   25   25   18   25   27  2.104620 0.977635 SUCCESS 144
111111010   24   18   22   27   26   32   22   34  8.977956 0.344159 SUCCESS 145
111111100   26   25   24   22   16   18   24   15  8.846222 0.355434 SUCCESS 146
111111110   22   22   26   23   29   23   24   19  2.900320 0.940456 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   25   23   19   31   27   20   26   23  4.477156 0.811714 SUCCESS   0
000000011   27   22   24   21   26   22   29   14  6.856973 0.552140 SUCCESS   1
000000101   28   20   19   30   27   23   20   24  5.129206 0.743681 SUCCESS   2
000000111   28   19   21   23   31   28   32   17  9.519456 0.300385 SUCCESS   3
000001001   25   28   28   25   22   27   25   27  1.962294 0.982146 SUCCESS   4
000001011   25   17   23   27   24   18   27   23  4.814765 0.777178 SUCCESS   5
000001101   27   20   27   25   29   22   18   23  4.366605 0.822626 SUCCESS   6
000001111   25   37   12   25   26   30   31   14 21.136539 0.006793 FAILURE   7
000010001   26   26   31   21   31   30   19   30  8.292807 0.405403 SUCCESS   8
000010011   34   31   24   25   22   28   25   18  8.317300 0.403105 SUCCESS   9
000010101   31   24   26   26   24   28   26   23  2.818234 0.945241 SUCCESS  10
000010111   20   27   31   31   18   23   27   21  7.392515 0.494935 SUCCESS  11
000011001   21   32   17   27   23   24   27   28  6.469053 0.594842 SUCCESS  12
000011011   24   25   30   25   26   20   17   22  4.857794 0.772662 SUCCESS  13
000011101   23   26   27   25   26   29   30   23  2.911573 0.939784 SUCCESS  14
000011111   26   31   18   19   23   27   26   25  5.417829 0.712126 SUCCESS  15
000100011   24   18   20   23   36   23   23   26  8.620487 0.375315 SUCCESS  16
000100101   20   32   32   25   25   24   32   23  8.284201 0.406212 SUCCESS  17
000100111   24   25   23   26   26   22   33   17  6.019568 0.645040 SUCCESS  18
000101001   17   27   31   29   25   21   15   29 10.493228 0.232099 SUCCESS  19
000101011   32   23   31   26   23   25   21   20  5.893130 0.659202 SUCCESS  20
000101101   15   18   17   35   24   23   23   24 12.736677 0.121237 SUCCESS  21
000101111   18   23   30   27   18   27   26   23  5.646212 0.686793 SUCCESS  22
000110011   25   26   17   35   22   26   23   23  7.722843 0.461001 SUCCESS  23
000110101   29   25   16   25   23   20   30   26  6.256557 0.618518 SUCCESS  24
000110111   19   25   30   22   26   30   23   24  4.350717 0.824176 SUCCESS  25
000111001   27   22   27   24   23   26   26   11  8.729714 0.365608 SUCCESS  26
000111011   23   21   30   21   20   24   26   30  4.655228 0.793710 SUCCESS  27
000111101   27   20   24   25   24   25   23   19  2.468047 0.963204 SUCCESS  28
000111111   14   37   24   26   22   27   25   34 15.875786 0.044193 SUCCESS  29
001000011   25   21   17   21   26   27   22   22  4.195814 0.839038 SUCCESS  30
001000101   32   24   27   25   25   26   22   25  3.139956 0.925270 SUCCESS  31
001000111   24   19   27   23   30   25   21   24  3.451749 0.902902 SUCCESS  32
001001011   19   28   29   25   24   25   26   23  2.910249 0.939863 SUCCESS  33
001001101   25   27   24   32   31   24   30   20  6.759000 0.562844 SUCCESS  34
001001111   25   29   23   24   20   23   31   23  3.833711 0.871806 SUCCESS  35
001010011   16   24   28   25   21   20   18   30  7.932690 0.440073 SUCCESS  36
001010101   34   23   23   26   18   23   27   28  6.833804 0.554666 SUCCESS  37
001010111   27   27   30   26   27   24   25   24  2.327045 0.969309 SUCCESS  38
001011011   19   24   20   33   27   29   17   20  9.518132 0.300487 SUCCESS  39
001011101   24   29   17   18   20   27   34   20 10.789133 0.213936 SUCCESS  40
001011111   33   25   38   26   27   28   24   24 11.946274 0.153617 SUCCESS  41
001100101   30   24   17   25   23   27   21   30  5.858707 0.663055 SUCCESS  42
001100111   24   19   26   24   19   33   25   25  5.756763 0.674457 SUCCESS  43
001101011   27   29   26   28   22   24   23   20  2.994983 0.934672 SUCCESS  44
001101101   24   22   14   20   32   22   23   19  9.660457 0.289670 SUCCESS  45
001101111   25   27   22   30   25   23   20   30  4.122334 0.845921 SUCCESS  46
001110101   23   26   24   31   30   28   23   26  4.115053 0.846597 SUCCESS  47
001110111   30   19   29   23   20   25   29   24  5.282785 0.726968 SUCCESS  48
001111011   30   16   24   18   25   22   25   24  6.339967 0.609208 SUCCESS  49
001111101   26   21   27   20   19   21   19   17  6.982087 0.538567 SUCCESS  50
001111111   15   29   22   23   18   34   26   25 10.730217 0.217459 SUCCESS  51
010000011   16   31   16   22   22   30   24   16 12.634733 0.125051 SUCCESS  52
010000111   23   20   18   20   25   24   21   27  4.254730 0.833441 SUCCESS  53
010001011   25   28   15   23   27   30   23   19  7.323669 0.502148 SUCCESS  54
010001111   18   28   31   24   24   27   26   20  5.358913 0.718616 SUCCESS  55
010010011   13   21   26   26   28   18   26   32 11.051939 0.198774 SUCCESS  56
010010111   24   27   27   18   25   29   33   25  6.377038 0.605077 SUCCESS  57
010011011   26   22   23   28   30   24   25   25  2.351538 0.968295 SUCCESS  58
010011111   21   27   23   24   15   21   20   23  5.999709 0.647264 SUCCESS  59
010100011   17   24   26   28   24   21   21   25  3.984643 0.858506 SUCCESS  60
010100111   26   17   20   20   23   24   22   26  4.508931 0.808539 SUCCESS  61
010101011   31   23   19   24   24   20   18   21  6.220810 0.622513 SUCCESS  62
010101111   32   17   23   20   28   21   19   22  8.186890 0.415430 SUCCESS  63
010110011   29   28   26   27   21   20   18   32  7.333598 0.501104 SUCCESS  64
010110111   18   28   20   41   25   26   30   19 17.468509 0.025584 SUCCESS  65
010111011   22   30   24   31   22   23   25   18  5.502562 0.702756 SUCCESS  66
010111111   23   22   31   22   24   21   23   34  6.901326 0.547315 SUCCESS  67
011000111   24   23   28   29   19   33   20   23  6.807986 0.557484 SUCCESS  68
011001111   24   23   25   20   20   20   27   23  2.933419 0.938466 SUCCESS  69
011010111   25   18   28   28   24   23   19   28  4.722750 0.786756 SUCCESS  70
011011111   21   22   24   33   28   23   26   31  6.461771 0.595651 SUCCESS  71
011101111   19   27   24   24   18   28   21   25  4.323576 0.826813 SUCCESS  72
011111111   19   28   22   23   19   40   19   30 16.222001 0.039311 SUCCESS  73
100000000   26   23   19   31   27   20   26   23  4.570495 0.802340 SUCCESS  74
100010000   17   26   19   25   17   20   28   23  7.448783 0.489074 SUCCESS  75
100100000   25   21   27   14   30   27   28   20  8.357681 0.399333 SUCCESS  76
100101000   17   27   23   29   29   22   25   29  5.638930 0.687604 SUCCESS  77
100110000   30   23   32   17   21   29   24   26  7.681138 0.465221 SUCCESS  78
100111000   28   19   28   29   30   20   25   34  9.301002 0.317544 SUCCESS  79
101000000   31   18   24   30   24   28   37   19 13.435728 0.097711 SUCCESS  80
101000100   20   26   19   21   31   18   31   19  9.314242 0.316484 SUCCESS  81
101001000   26   21   30   28   32   24   20   22  5.995075 0.647784 SUCCESS  82
101001100   26   27   26   22   20   25   23   37  8.393428 0.396012 SUCCESS  83
101010000   28   30   17   23   18   32   20   29 10.180112 0.252611 SUCCESS  84
101010100   33   29   26   25   17   29   23   22  7.698349 0.463477 SUCCESS  85
101011000   33   23   19   23   30   27   23   22  6.477659 0.593887 SUCCESS  86
101011100   30   25   19   33   26   20   28   25  7.207160 0.514456 SUCCESS  87
101100000   29   27   27   25   22   20   22   19  4.027671 0.854618 SUCCESS  88
101100100   29   18   36   23   29   22   23   11 17.246084 0.027646 SUCCESS  89
101101000   24   18   22   23   18   28   20   14  9.752473 0.282831 SUCCESS  90
101101100   21   32   22   26   26   23   22   11 11.330632 0.183660 SUCCESS  91
101110000   26   27   24   25   29   22   24   16  4.553283 0.804079 SUCCESS  92
101110100   26   24   29   26   28   21   32   20  5.427759 0.711030 SUCCESS  93
101111000   20   26   29   25   25   24   27   19  3.384227 0.907987 SUCCESS  94
101111100   30   24   20   18   25   28   33   22  7.833393 0.449912 SUCCESS  95
110000000   20   30   20   26   26   27   19   21  5.196728 0.736358 SUCCESS  96
110000010   21   25   30   27   25   20   26   21  3.553694 0.894983 SUCCESS  97
110000100   29   33   19   28   27   25   24   23  6.207571 0.623993 SUCCESS  98
110001000   28   17   14   23   23   23   36   27 13.687280 0.090289 SUCCESS  99
110001010   13   27   27   26   25   17   20   23  9.423469 0.307841 SUCCESS 100
110010000   28   17   23   17   22   21   26   13 11.616608 0.169147 SUCCESS 101
110010010   19   25   23   25   23   28   16   26  5.077571 0.749254 SUCCESS 102
110010100   18   20   24   25   24   27   27   29  4.053488 0.852266 SUCCESS 103
110011000   20   28   20   17   15   19   23   21 10.056983 0.261049 SUCCESS 104
110011010   34   34   28   26   25   26   20   21  9.902742 0.271919 SUCCESS 105
110100000   27   17   26   31   33   20   28   21  9.553879 0.297743 SUCCESS 106
110100010   23   19   16   21   25   31   23   16  9.727979 0.284640 SUCCESS 107
110100100   24   20   29   22   30   18   27   19  6.552462 0.585595 SUCCESS 108
110101000   23   30   17   21   22   26   27   30  6.189035 0.626066 SUCCESS 109
110101010   30   29   22   23   23   26   14   15 11.067826 0.197886 SUCCESS 110
110101100   30   29   18   20   33   28   19   26  9.808079 0.278756 SUCCESS 111
110110000   27   32   26   27   26   26   20   19  5.401941 0.713878 SUCCESS 112
110110010   26   25   29   20   24   18   30   19  6.146007 0.630881 SUCCESS 113
110110100   23   20   22   22   20   29   23   21  3.678808 0.884878 SUCCESS 114
110111000   23   20   29   28   30   27   25   21  4.469874 0.812440 SUCCESS 115
110111010   27   27   26   26   24   23   25   24  0.902465 0.998793 SUCCESS 116
110111100   20   31   25   26   20   26   25   22  3.977361 0.859160 SUCCESS 117
111000000   24   27   16   27   31   20   16   23  9.305636 0.317173 SUCCESS 118
111000010   21   35   28   30   21   27   32   32 12.802213 0.118838 SUCCESS 119
111000100   27   22   20   26   24   24   27   27  2.045704 0.979579 SUCCESS 120
111000110   30   15   24   28   21   22   42   23 19.569633 0.012093 SUCCESS 121
111001000   29   21   28   24   21   26   22   24  2.791093 0.946776 SUCCESS 122
111001010   19   13   22   24   20   18   23   33 12.761171 0.120335 SUCCESS 123
111001100   22   24   30   19   23   26   29   21  4.392422 0.820097 SUCCESS 124
111010000   23   21   24   30   24   24   31   22  4.011784 0.856059 SUCCESS 125
111010010   18   19   28   20   36   25   29   24 10.959924 0.203980 SUCCESS 126
111010100   21   29   24   23   18   28   18   31  7.340880 0.500340 SUCCESS 127
111010110   27   32   19   26   31   30   22   28  8.047213 0.428872 SUCCESS 128
111011000   30   18   31   27   28   28   23   24  6.385643 0.604118 SUCCESS 129
111011010   27   17   25   13   19   29   24   25 10.279408 0.245960 SUCCESS 130
111011100   23   20   30   22   24   18   23   27  4.586382 0.800730 SUCCESS 131
111100000   22   31   16   31   27   22   15   22 11.441183 0.177932 SUCCESS 132
111100010   26   29   29   20   24   29   16   31  8.460950 0.389785 SUCCESS 133
111100100   25   23   28   24   23   25   27   25  1.054720 0.997878 SUCCESS 134
111100110   29   26   23   23   19   29   26   18  5.146417 0.741818 SUCCESS 135
111101000   16   33   22   30   27   20   34   21 13.197415 0.105235 SUCCESS 136
111101010   30   18   26   30   20   21   18   23  7.628179 0.470607 SUCCESS 137
111101100   24   25   29   24   21   26   23   25  1.622037 0.990491 SUCCESS 138
111101110   23   15   25   20   24   23   24   29  5.653494 0.685981 SUCCESS 139
111110000   25   28   23   25   26   31   25   33  5.768016 0.673199 SUCCESS 140
111110010   17   17   23   24   23   20   26   24  5.745509 0.675714 SUCCESS 141
111110100   12   27   27   25   31   25   19   30 11.527240 0.173576 SUCCESS 142
111110110   30   29   28   22   23   26   17   25  5.545591 0.697984 SUCCESS 143
111111000   24   29   26   31   21   29   22   33  7.623546 0.471079 SUCCESS 144
111111010   11   30   27   30   27   24   18   30 13.908382 0.084185 SUCCESS 145
111111100   17   24   22   28   20   28   23   31  6.417418 0.600581 SUCCESS 146
111111110   19   28   22   23   19   40   19   30 16.222001 0.039311 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   25   27   21   16   25   25   26   16  6.907283 0.546668 SUCCESS   0
000000011   19   27   20   26   24   25   32   15  8.662192 0.371589 SUCCESS   1
000000101   27   22   24   13   19   27   26   30  9.001125 0.342201 SUCCESS   2
000000111   21   26   18   23   28   26   37   24  9.808079 0.278756 SUCCESS   3
000001001   20   15   27   25   23   23   24   19  6.271121 0.616891 SUCCESS   4
000001011   30   26   22   13   20   24   21   24  8.508613 0.385426 SUCCESS   5
000001101   24   24   21   21   22   21   20   22  2.788445 0.946924 SUCCESS   6
000001111   25   26   29   21   33   24   32   28  7.649363 0.468449 SUCCESS   7
000010001   21   25   27   25   19   32   25   23  4.587706 0.800596 SUCCESS   8
000010011   15   16   22   25   21   21   22   18  9.946433 0.268806 SUCCESS   9
000010101   26   20   33   19   25   17   18   37 16.094239 0.041051 SUCCESS  10
000010111   29   26   21   20   21   23   24   21  3.382903 0.908085 SUCCESS  11
000011001   23   21   22   28   30   27   25   18  4.731356 0.785865 SUCCESS  12
000011011   30   24   17   15   19   24   34   19 13.779296 0.087702 SUCCESS  13
000011101   22   27   22   19   27   20   18   28  5.399293 0.714170 SUCCESS  14
000011111   21   33   23   19   35   19   23   25 11.036051 0.199665 SUCCESS  15
000100011   21   27   26   29   26   36   28   18  9.876925 0.273771 SUCCESS  16
000100101   27   26   31   33   24   36   27   27 11.658974 0.167080 SUCCESS  17
000100111   19   23   25   27   26   19   21   19  4.687003 0.790446 SUCCESS  18
000101001   29   17   34   26   26   26   31   28  9.843826 0.276159 SUCCESS  19
000101011   20   13   25   20   24   22   24   31  9.262608 0.320629 SUCCESS  20
000101101   27   22   20   18   22   21   20   21  5.126558 0.743968 SUCCESS  21
000101111   26   24   22   25   15   27   23   18  6.220810 0.622513 SUCCESS  22
000110011   22   25   23   24   26   28   24   26  1.122242 0.997352 SUCCESS  23
000110101   27   27   25   34   25   18   25   19  7.494459 0.484340 SUCCESS  24
000110111   31   25   27   23   27   24   26   25  2.648767 0.954432 SUCCESS  25
000111001   28   29   34   32   21   22   29   29 10.327733 0.242773 SUCCESS  26
000111011   21   23   12   24   27   26   15   33 14.363824 0.072762 SUCCESS  27
000111101   24   17   23   29   22   27   37   28 11.113503 0.195351 SUCCESS  28
000111111   20   29   20   23   29   27   20   24  4.629411 0.796351 SUCCESS  29
001000011   30   21   20   22   32   22   32   22  8.265666 0.407959 SUCCESS  30
001000101   30   20   26   17   28   19   23   19  7.678490 0.465489 SUCCESS  31
001000111   30   21   17   31   28   38   22   27 14.902013 0.061079 SUCCESS  32
001001011   26   22   30   33   24   34   22   25  8.987886 0.343319 SUCCESS  33
001001101   17   25   22   25   18   28   25   28  5.442322 0.709422 SUCCESS  34
001001111   20   26   25   27   22   16   26   20  5.390688 0.715118 SUCCESS  35
001010011   23   23   29   23   22   27   23   23  1.841814 0.985483 SUCCESS  36
001010101   29   34   31   21   30   28   21   18 11.241265 0.188400 SUCCESS  37
001010111   22   19   33   24   29   22   29   28  7.207160 0.514456 SUCCESS  38
001011011   26   18   21   18   26   23   22   23  4.585058 0.800864 SUCCESS  39
001011101   19   28   29   22   30   26   28   21  5.401941 0.713878 SUCCESS  40
001011111   22   28   24   30   23   30   19   21  5.265573 0.728851 SUCCESS  41
001100101   18   24   24   21   25   16   29   22  6.381671 0.604560 SUCCESS  42
001100111   17   22   28   27   24   35   25   23  8.265666 0.407959 SUCCESS  43
001101011   18   26   29   16   22   19   23   17  9.608823 0.293561 SUCCESS  44
001101101   24   25   23   16   21   29   26   21  5.077571 0.749254 SUCCESS  45
001101111   33   38   26   25   17   24   23   22 13.748845 0.088551 SUCCESS  46
001110101   19   28   28   24   26   22   23   26  2.884432 0.941399 SUCCESS  47
001110111   27   21   20   28   28   33   12   29 13.239120 0.103883 SUCCESS  48
001111011   14   14   25   34   21   25   27   26 13.983185 0.082205 SUCCESS  49
001111101   30   23   29   22   22   16   20   31  8.451020 0.390697 SUCCESS  50
001111111   24   18   21   26   26   21   23   27  3.306775 0.913658 SUCCESS  51
010000011   25   21   24   17   18   18   18   26  8.142538 0.419672 SUCCESS  52
010000111   21   25   27   27   34   18   24   22  6.968848 0.539998 SUCCESS  53
010001011   27   28   30   16   29   18   21   21  8.764137 0.362582 SUCCESS  54
010001111   20   26   21   24   24   38   20   26 10.197323 0.251449 SUCCESS  55
010010011   27   20   21   26   21   27   29   23  3.460355 0.902245 SUCCESS  56
010010111   26   24   28   34   23   35   24   24  9.428764 0.307426 SUCCESS  57
010011011   20   28   25   29   13   20   17   18 12.659226 0.124125 SUCCESS  58
010011111   23   31   19   20   27   19   33   32 11.087686 0.196780 SUCCESS  59
010100011   26   29   24   20   23   26   16   25  5.027261 0.754659 SUCCESS  60
010100111   22   23   21   32   23   22   31   28  5.986469 0.648748 SUCCESS  61
010101011   28   36   27   22   34   28   21   18 13.461545 0.096925 SUCCESS  62
010101111   24   28   35   21   26   27   28   14 11.333280 0.183521 SUCCESS  63
